Food,Calcium [mg],Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Total Fat [g],Iron [mg],Sodium [mg],Phosphorous  [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Vit A [RE],Vib B6 [RE],Vit C [mg],Food Type,
Raisin bread slice,25,68,1.9,13.2,0.7,1,0.8,92,22,0.1,1.02,0.08,0,0.01,0,BAKED GOODS,
Raisins seedless,71,435,4.7,115,9.6,0.7,3,17,140,0.5,1.19,0.23,1,0.36,5,FRUITS,
Raw white,4,16,3.4,0.4,0,0,0,50,4,0.1,0.03,0.01,0,0.01,0,EGGS,
Raw whole without shell,28,79,6.1,0.6,0,5.6,1,69,90,0.6,0.03,0.04,78,0.06,0,EGGS,
Raw Yolk,26,63,2.8,0.1,0,5.6,0.9,8,86,0.5,0.01,0.04,94,0.05,0,EGGS,
Rhubarb cooked added sugar,348,279,0.9,74.9,5.3,0.1,0.5,2,19,0.2,0.48,0.04,17,0.05,8,FRUITS,
Rice brown cooked,23,232,4.9,49.7,3.9,1.2,1.2,0,142,1,2.73,0.18,0,0.29,0,GRAIN PRODUCTS,
Root Beer (12 fl oz),19,152,0.1,39.2,0,0,0.2,49,2,0.3,0,0,0,0,0,BEVERAGES,
Rye wafers whole grain,7,55,1,10,1.4,1,0.5,115,44,1.6,0.5,0.06,0,0.03,0,BAKED GOODS,
Rye sliced,20,65,2.1,12,1.6,0.9,0.7,175,36,0.4,0.83,0.1,0,0.02,0,BAKED GOODS,
Safflower,0,482,0,0,0,54,0,0,1,0.1,0,0,0,0,0,FATS AND OILS,
Salad Dressing - Blue Cheese,12,75,0.7,1.1,0,8,0,0.3,11,0.3,0.01,0.01,10,0.01,0,FATS AND OILS,
Salad Dressing - French Regular,2,85,0.1,1,0.1,9,0.1,188,1,0,0,0,0,0.01,0,FATS AND OILS,
Salad Dressing - Italian Regular,1,80,0.1,1,0,9,0,162,1,0,0,0,3,0.03,0,FATS AND OILS,
Salad Dressing 1000 Island,2,60,0.1,2.4,0,5.7,0.1,110,3,0,0.03,0.01,15,0.01,0,FATS AND OILS,
Salad Dressing Mayonnaise,2,100,0.2,0.4,0,11,0.1,80,4,0,0.01,0.01,12,0.01,0,FATS AND OILS,
Salmon - Broiled or baked,26,140,21,0,0,5,0.5,55,269,0.9,5.5,0.18,87,0.68,0,FISH AND SHELLFISH,
Salmon canned pink solids,167,120,17,0,0,5,0.7,443,243,0.8,6.8,0.03,18,0.38,0,FISH AND SHELLFISH,
Saltine crackers,3,50,1,9,0.1,1.1,0.5,165,12,0.1,0.6,0.06,0,0.01,0,BAKED GOODS,
Scrambled with milk and butter,54,95,6,1.4,0,7.1,0.9,176,109,0.7,0.04,0.04,102,0.06,0,EGGS,
Sherbert (2% fat),103,270,2.2,59,0,3.8,0.3,87,74,1.3,0.13,0.03,38.5,0.02,4,DAIRY,
